"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"X.Intercept.",0,0,0,0,0,"Rejected"
"v1",3.3482226714696,3.29950038040717,0.650662126325457,6.17622309899198,0.637274549098196,"Confirmed"
"v2",5.73360781398165,5.70536570151533,3.10823529619013,8.29214377952533,0.991983967935872,"Confirmed"
"v4",6.81265600609016,6.83142306213812,4.06483800733164,8.93781310489429,1,"Confirmed"
"v5",4.82431203475084,4.79033995823036,2.144775601221,7.455009697115,0.957915831663327,"Confirmed"
"v6",3.36668051936183,3.35450283909197,0.429348947626865,6.06256658381486,0.661322645290581,"Confirmed"
"v7",4.02797708735914,4.01678884691677,0.73776876559328,6.4805191111015,0.841683366733467,"Confirmed"
"v8",5.11865766761882,5.1351678397856,2.77268943328132,7.29079754279192,0.983967935871743,"Confirmed"
"v9",3.00457762668742,2.98172430016511,0.0757951212570051,6.09695042047135,0.525050100200401,"Tentative"
"v10",11.0338077610738,10.9742274823219,8.93311803303315,13.2207677527963,1,"Confirmed"
"v11",3.27028094488627,3.33911896804931,0.0923223506233407,5.31350242404548,0.6312625250501,"Confirmed"
"v12",13.0494710013247,13.0560161264501,10.2082099730905,15.5168917380536,1,"Confirmed"
"v13",4.11685709665321,4.14946379590072,1.56035961508505,6.60971038446694,0.859719438877755,"Confirmed"
"v14",10.7126404002621,10.7350475490841,8.43174521642596,13.3138991104951,1,"Confirmed"
"v15",3.46207876589266,3.49798450486251,0.496336641924791,6.14263935936716,0.687374749498998,"Confirmed"
"v16",2.10394341931863,2.14277988885869,-0.390071317190256,4.00568937206268,0.0220440881763527,"Rejected"
"v17",6.16611466553401,6.20170605483112,3.94691122661624,8.49322574087384,1,"Confirmed"
"v18",3.43466109856732,3.44124764314222,0.969975255781956,6.25571466114976,0.645290581162325,"Confirmed"
"v19",4.27161213600396,4.28717278987956,1.43165217375076,6.97013464130492,0.897795591182365,"Confirmed"
"v20",5.03974971212967,5.13126933061604,2.51662419643401,7.88267649981396,0.969939879759519,"Confirmed"
"v21",8.55324892735693,8.61752350044262,6.10665147417336,10.9561058343752,1,"Confirmed"
"v23",4.95009674053714,4.96954926294348,2.74619674409911,7.35736434737931,0.973947895791583,"Confirmed"
"v24B",-0.00118063776069947,-0.380959110565207,-1.08191663547669,1.57506926727883,0,"Rejected"
"v24C",3.19198504566453,3.25383591462348,0.121562237698863,5.20545147501744,0.609218436873748,"Confirmed"
"v24D",0.719708132079351,0.669200545291796,-1.27717007819568,2.71242858242881,0.00200400801603206,"Rejected"
"v24E",3.97790925762883,4.01820575347265,1.22745939319061,6.48495611163093,0.835671342685371,"Confirmed"
"v25",5.03910966548163,5.03048317787565,2.88878474401595,7.40369180788434,0.977955911823647,"Confirmed"
"v26",4.58816452861447,4.53940434522492,2.67883252578947,6.71143061126636,0.953907815631262,"Confirmed"
"v27",4.58936164406766,4.63054234289594,1.8656337603472,7.41119426892652,0.943887775551102,"Confirmed"
"v28",2.88542559962855,2.86781996662879,0.0113984573163518,5.55822285996203,0.460921843687375,"Tentative"
"v29",6.07872915803882,6.13309757413896,4.09097582384025,8.45455452913071,1,"Confirmed"
"v30C",1.25619582698382,1.24725898716308,-0.827375326373627,3.08103059594296,0.00200400801603206,"Rejected"
"v30G",0.95950237172656,0.91260832270073,-0.914867642097892,2.22100806964883,0,"Rejected"
"v31A",9.71473650219884,9.72683893699291,7.79418126151175,11.7427703817399,1,"Confirmed"
"v31B",6.18089498597642,6.20008745902438,3.83867968631559,8.17210578093508,0.997995991983968,"Confirmed"
"v32",3.66967632595499,3.65434239718154,1.07128801821714,5.94129277866847,0.759519038076152,"Confirmed"
"v33",5.73155092364235,5.69750899975651,3.47379930244521,8.16555579633119,0.993987975951904,"Confirmed"
"v34",11.8461714197695,11.8288477368183,8.72987518964945,14.2828528725101,1,"Confirmed"
"v35",3.62168631746591,3.59445313119935,0.844647327270169,6.58671592332261,0.745490981963928,"Confirmed"
"v36",5.40500834818638,5.36678091225513,2.87120864679837,7.52121078625474,0.985971943887776,"Confirmed"
"v37",4.03390630244258,4.0766618324409,1.17647948158197,7.22085019737103,0.843687374749499,"Confirmed"
"v39",3.79171660568863,3.83203386040823,1.0580930576137,6.61064934991166,0.803607214428858,"Confirmed"
"v40",11.0894871928143,11.0549072239969,8.56777857184896,13.4873169612812,1,"Confirmed"
"v41",5.25879441995513,5.26920549721743,2.70405830794356,7.92923642865923,0.987975951903808,"Confirmed"
"v42",4.2703713499,4.27578598952161,1.9363668187749,6.77111380076995,0.907815631262525,"Confirmed"
"v43",4.46763318050336,4.47531978437256,2.32329732020217,6.93903393400681,0.94188376753507,"Confirmed"
"v44",6.41093540867647,6.44003458900858,4.02047170684672,8.85827449548842,1,"Confirmed"
"v45",4.31355333624011,4.34652472219491,1.68769476366209,6.65426578726308,0.895791583166333,"Confirmed"
"v46",5.15141866759596,5.19350364183363,2.22379583782067,7.4638299840277,0.985971943887776,"Confirmed"
"v47C",12.0822019853703,12.0715690059321,10.3994378015113,13.9263628457203,1,"Confirmed"
"v47I",6.93329978112159,6.92935433221105,5.33607563510659,8.29639548912525,1,"Confirmed"
"v48",6.17700034740699,6.15444040186899,4.22121009190622,8.45631489866581,1,"Confirmed"
"v49",4.38411548020986,4.41137613797924,1.50286510026679,6.63057924686839,0.923847695390782,"Confirmed"
"v50",38.3415585209431,38.3367916627122,34.1310849707882,42.3271135173498,1,"Confirmed"
"v51",5.51262128146604,5.52991812978079,3.58439309279615,7.58699615473303,0.995991983967936,"Confirmed"
"v52A",-0.0596362887536941,0.0690100666775279,-2.19468755036145,1.62561980771609,0,"Rejected"
"v52B",-0.316749081872111,-0.265695753365915,-1.88616515313857,0.998629241081693,0,"Rejected"
"v52C",0.25657831301673,0.287711484458195,-0.918065413992792,1.7077950812451,0,"Rejected"
"v52D",-0.0967614457298372,-0.141862636530996,-1.25716103184332,2.52242020831851,0,"Rejected"
"v52E",0.1604670776898,0.259624445962581,-2.35994944398655,1.96324775767626,0,"Rejected"
"v52F",-0.232996887286464,-0.291421002503237,-1.64883731049064,1.19496694217609,0,"Rejected"
"v52G",-0.299688471163666,-0.0900583306689582,-2.14281604971286,1.55621785533647,0,"Rejected"
"v52H",0.323439121063335,0.28661055054163,-1.44214794133782,2.43338696356372,0,"Rejected"
"v52I",0.0628677731866774,0.213177146615476,-1.30223882599922,1.50798656064186,0,"Rejected"
"v52J",-0.281991378674258,-0.218896711078087,-1.927594342094,1.5220859367984,0,"Rejected"
"v52K",0.551137625894975,0.572601837357812,-0.759970578013397,1.56072557602001,0,"Rejected"
"v52L",-0.294154368673236,-0.489779377614551,-1.97878248634533,1.34315584457129,0,"Rejected"
"v53",3.49337844838957,3.49318174312669,0.918884418160346,6.3665243585067,0.695390781563126,"Confirmed"
"v54",5.07852393214836,5.04094142643828,1.48580673757419,7.71544018953867,0.975951903807615,"Confirmed"
"v55",5.78313283223137,5.76569913734192,3.70316630082426,8.62686445451469,0.997995991983968,"Confirmed"
"v56.1A",2.59502996353563,2.51814469917112,0.350561592062228,4.6678136717767,0.0561122244488978,"Rejected"
"v56.1B",1.2080031477737,1.29897779296207,-0.693745784450982,2.32052709688705,0,"Rejected"
"v56.1C",4.22563778508198,4.27936905712516,0.543124505077795,6.00351510081242,0.895791583166333,"Confirmed"
"v56.1D",1.51607295518712,1.38570903409171,-0.355309607980296,3.8712245420427,0.00801603206412826,"Rejected"
"v56.2I",3.93011650086514,4.00899371807235,1.00858613402708,6.21743563661775,0.809619238476954,"Confirmed"
"v56.2S",1.95926431578902,2.00401151733659,0.145517952848702,4.10034661474267,0.00801603206412826,"Rejected"
"v56.2W",1.24055636141019,1.26343266508305,-1.71195544549974,2.65032895238461,0,"Rejected"
"v56.2Y",3.91667453434269,3.93282628393569,1.10581793596568,6.04477625813984,0.839679358717435,"Confirmed"
"v56.2Z",2.45932501758909,2.60951519497832,0.611023354339561,4.48448908083771,0.0400801603206413,"Rejected"
"v57",3.55348707229868,3.61304998454304,0.702388093018712,6.32094905210261,0.715430861723447,"Confirmed"
"v58",4.3862281917012,4.4416640137563,1.97519825689375,6.96920489530555,0.913827655310621,"Confirmed"
"v59",5.95421145705476,5.96861913895748,3.58286342639934,8.26922152654893,0.995991983967936,"Confirmed"
"v60",5.15944098153676,5.12497910199232,3.45310335245411,7.2856714134189,0.995991983967936,"Confirmed"
"v61",5.60781514408418,5.58787375673338,3.31993887067628,7.79562621617137,0.995991983967936,"Confirmed"
"v62",6.08477005222691,6.12445453621384,3.67514551090976,8.28128490892931,1,"Confirmed"
"v63",5.36075194252955,5.31265396995689,3.0151075740574,7.73614192175755,0.985971943887776,"Confirmed"
"v64",6.05031032732948,6.04002307394736,3.98506689965984,9.01890684652359,1,"Confirmed"
"v65",5.69936476447637,5.72511952154863,2.3731117898168,7.90401202008467,0.995991983967936,"Confirmed"
"v66B",8.03074693316222,8.03592123419328,5.57816839377166,10.7930097576522,1,"Confirmed"
"v66C",15.4659563326056,15.473568811691,13.5995561453364,17.8038533059498,1,"Confirmed"
"v67",5.60225837481239,5.59205075434897,3.38658543193125,8.03669248984852,0.997995991983968,"Confirmed"
"v68",3.51238428002824,3.53043779373848,0.289047889581358,6.61486181738993,0.693386773547094,"Confirmed"
"v69",2.29658847667255,2.22278569998141,0.364449800988531,4.76880668571647,0.0100200400801603,"Rejected"
"v70",4.73938896863571,4.72742055918247,2.41187797149193,7.32208864051626,0.943887775551102,"Confirmed"
"v71B",0.139474310583471,0.0734369799525024,-2.11354124981289,1.86099362848372,0,"Rejected"
"v71C",2.04706905124948,1.92643240325523,0.731021879614454,4.23576730508971,0.0100200400801603,"Rejected"
"v71F",0.660888288918266,0.677522218420585,-1.21303522777784,2.46416676263428,0,"Rejected"
"v72",0.180168197822085,0.459288505150672,-1.55529178651598,1.3673451324551,0,"Rejected"
"v73",4.1397694803859,4.16765142276534,1.37281262784186,6.75887230352039,0.859719438877755,"Confirmed"
"v75B",0.483767849885968,0.556594863516364,-0.853268704729014,1.62343735234487,0,"Rejected"
"v75D",0.218280538330012,0.071038280401299,-1.62130780437517,1.46674325788112,0,"Rejected"
"v76",6.32189882328823,6.32327569555034,3.95692624034846,8.5958243050919,1,"Confirmed"
"v77",5.29851052404889,5.28164893022541,3.09109001209615,7.48312832065923,0.983967935871743,"Confirmed"
"v78",1.84420879279316,1.79801842907308,0.329869594335586,3.5670467238226,0.00400801603206413,"Rejected"
"v79B",8.42113227104811,8.44139061370341,6.24108563313213,10.617263162906,1,"Confirmed"
"v79C",6.62289903827462,6.61119240019377,5.0673043445753,8.03657073686028,1,"Confirmed"
"v79E",2.72125349010438,2.70787111726688,-0.329403877815725,5.8417238017773,0.424849699398798,"Tentative"
"v80",4.10563617255098,4.1593608176539,1.51835331595401,7.26586195901676,0.865731462925852,"Confirmed"
"v81",5.2481220133884,5.25491367334761,2.33095485236322,8.02397142919111,0.987975951903808,"Confirmed"
"v82",3.70164792415851,3.75446780596383,0.610704114501965,6.38817395289098,0.741482965931864,"Confirmed"
"v83",5.64703237400799,5.71458810561637,2.75594561906993,7.55511123341415,0.993987975951904,"Confirmed"
"v84",5.1721735776221,5.19170505163026,1.89046764360807,8.20758085255542,0.979959919839679,"Confirmed"
"v85",5.81432486930406,5.81037132986123,2.78961938445448,8.04922343600562,0.991983967935872,"Confirmed"
"v86",3.56501049540676,3.56101581276784,0.921793973760949,5.88625469139921,0.711422845691383,"Confirmed"
"v87",5.70522569709503,5.70671146990255,2.48851492114887,7.91423152225833,0.993987975951904,"Confirmed"
"v88",5.57571716412183,5.61286131588102,2.44408966352308,7.57572094001566,0.995991983967936,"Confirmed"
"v89",4.47577145501669,4.46512885276436,2.05109670377841,7.2736564697526,0.927855711422846,"Confirmed"
"v90",3.560009159412,3.61728673268695,1.12399360468263,5.7626067749286,0.711422845691383,"Confirmed"
"v91A",0.323640226226537,-0.0490892885161251,-1.09048752332823,1.98030414037801,0,"Rejected"
"v91B",-0.0661074558828009,-0.0701637813634899,-1.66507534332515,2.43015964504676,0,"Rejected"
"v91C",-0.175614930815349,-0.065813454698524,-1.90850554519704,1.72522655214999,0,"Rejected"
"v91F",0.903130028392552,1.10275604284311,-1.2716403444697,2.62521736381393,0.00200400801603206,"Rejected"
"v91G",-0.215678519969378,-0.218533446890615,-1.22260917268098,0.717795637704487,0,"Rejected"
"v92",4.8965034085377,4.86945069054695,2.71698668316387,7.82375016818698,0.949899799599198,"Confirmed"
"v93",6.13235765655034,6.14817294284971,3.9080581276176,8.10861530609646,1,"Confirmed"
"v94",4.36241031096149,4.39308336124465,0.730762945830303,7.31495840383007,0.911823647294589,"Confirmed"
"v95",4.6577680723131,4.65712677541545,1.96742208278313,6.9680282104308,0.959919839679359,"Confirmed"
"v96",5.52015893746048,5.54980205902935,3.21098770626214,7.71943993002507,0.993987975951904,"Confirmed"
"v97",5.23755064238413,5.23472032435628,3.10213908646029,7.51479835108647,0.979959919839679,"Confirmed"
"v98",4.39582330181858,4.35808656434641,1.25653558891877,7.12317630543214,0.913827655310621,"Confirmed"
"v99",4.59115101891199,4.58878933221121,1.20159453250474,7.39979117847511,0.927855711422846,"Confirmed"
"v100",4.4582124835675,4.45451127150975,2.01250040233296,6.82757615922239,0.945891783567134,"Confirmed"
"v101",6.38104306686051,6.38599005755052,4.16218874864221,8.27966905987922,1,"Confirmed"
"v102",3.1373245938706,3.14091241619121,0.715640719954523,5.92199269770758,0.567134268537074,"Tentative"
"v103",3.77654373988421,3.74399176937026,0.683050359654168,6.84914381212345,0.753507014028056,"Confirmed"
"v104",3.78297012749021,3.73815304788877,1.06732476283793,6.37397806158294,0.773547094188377,"Confirmed"
"v105",4.85975711634702,4.82741692637895,2.35383924020136,7.0798440186721,0.975951903807615,"Confirmed"
"v106",5.96318777105793,5.942804844679,3.44687050717509,9.23487252840075,0.997995991983968,"Confirmed"
"v107A",0.729655664667339,0.708652374257379,-0.978968551586039,1.93915611201766,0,"Rejected"
"v107B",-0.414020835368528,-0.759750654404413,-1.89553321438816,1.57035666392556,0,"Rejected"
"v107C",-0.223600363057857,-0.389394393095555,-1.63440055524865,1.81114337055046,0,"Rejected"
"v107D",0.427161896313117,0.320142833397228,-1.15421347332697,1.88759928776353,0,"Rejected"
"v107E",-0.0730629344730087,-0.173484793530737,-1.93424187215626,1.99805502727059,0,"Rejected"
"v108",5.51084915128333,5.52889286162645,3.19144922333533,8.41730402251362,0.993987975951904,"Confirmed"
"v109",4.82156108753342,4.79898104677683,2.19816605754262,7.5191922674576,0.959919839679359,"Confirmed"
"v110B",12.1322960161304,12.1202745507202,10.3270350046022,14.3797445192342,1,"Confirmed"
"v111",5.20949723842721,5.24232137978629,2.35551846552081,7.63331205022385,0.977955911823647,"Confirmed"
"v112A",-0.014882466797308,0.0391596517029647,-1.01648948839476,1.81261604620417,0,"Rejected"
"v112D",-0.207560465427114,0.285293739311657,-2.01796129842687,1.35736895837283,0,"Rejected"
"v112F",0.690945032677043,0.770586740657285,-0.547113412332028,1.93550498863705,0,"Rejected"
"v112I",1.55039943500877,1.51507889626001,-0.139133650626942,2.65902835575699,0,"Rejected"
"v112N",0.180602131328306,0.33884175497494,-1.21527763665495,1.40798548927728,0,"Rejected"
"v113.1A",3.01334925706256,3.00391772062355,0.175702472116703,5.92691766406847,0.539078156312625,"Tentative"
"v113.1G",10.4883610789223,10.4903186366964,7.2591730473364,12.2811596188471,1,"Confirmed"
"v113.1M",2.96048805590131,3.00020948428751,-0.19442115545876,5.7759277829564,0.525050100200401,"Tentative"
"v113.2C",2.02739300317862,1.9332568026994,0.0917262739556122,3.90931175379234,0.00801603206412826,"Rejected"
"v114",11.4708339633524,11.4864412016467,9.17377148792695,13.2357713976442,1,"Confirmed"
"v115",2.32133605008724,2.43162812000327,0.584504641188818,3.58779449189851,0,"Rejected"
"v116",4.40234051285105,4.38609585643664,2.11114819868248,6.45680308657471,0.929859719438878,"Confirmed"
"v117",5.20478274713402,5.13549303609881,2.5262183022986,7.79279486410924,0.98997995991984,"Confirmed"
"v118",4.74524252180779,4.717173193075,2.21386408604477,7.0386026088635,0.963927855711423,"Confirmed"
"v119",5.44658203207384,5.45683366913409,3.05873023982777,8.22605500147847,0.987975951903808,"Confirmed"
"v120",3.24115793689271,3.17897064837219,0.221777887475708,6.00087331555156,0.579158316633267,"Tentative"
"v121",5.8027598773015,5.79379241029043,3.52905478213525,8.04910163303231,0.995991983967936,"Confirmed"
"v122",3.48284969526799,3.43326920429762,0.791417004497024,5.95284439392989,0.677354709418838,"Confirmed"
"v123",6.38975070698972,6.36089418679542,3.98856302552413,8.70227142136162,1,"Confirmed"
"v124",4.20784661091661,4.19618900797305,1.47490102286815,7.02413397459716,0.903807615230461,"Confirmed"
"v125.1A",-0.0664259398975524,0.158314782592184,-1.35666104829138,0.736374574813605,0,"Rejected"
"v125.1B",-0.135053807918845,-0.098774269649856,-2.63047084982769,2.02138615844659,0,"Rejected"
"v125.1C",0.199123664044161,-0.00562098166210996,-1.65251554502905,1.76720952137335,0,"Rejected"
"v125.2J",1.46608104559121,1.50251314930358,-0.681998578702139,3.8371159375008,0.00400801603206413,"Rejected"
"v125.2K",0.227176130150953,0.203040890455142,-1.9801487181378,2.68722021594893,0,"Rejected"
"v125.2M",0.107937393316043,0.275403763549924,-2.09396906461457,1.92725874543201,0,"Rejected"
"v126",2.97422632676284,2.95527809083938,0.289595507583168,6.21268359779063,0.498997995991984,"Tentative"
"v127",4.08512772667622,4.08355346456483,0.81474486746886,6.9172013310533,0.851703406813627,"Confirmed"
"v128",5.54888362533947,5.4851111618082,3.30617102865407,8.63942444489013,0.997995991983968,"Confirmed"
"v129",8.0127686676311,8.03082603902302,5.9485062213441,10.1130175589974,1,"Confirmed"
"v130",5.97293070433655,5.98904523391234,3.97931603556021,9.06582434805409,0.997995991983968,"Confirmed"
"v131",3.06841416849207,2.98976961306527,0.306283611759792,5.90917269260688,0.527054108216433,"Tentative"
"row.miss",3.15896179326439,3.17942631487729,0.503142493725404,5.55524360783414,0.615230460921844,"Confirmed"
"miss.any",1.98530992527399,2.24784156141547,-0.482087464326827,3.41338277626651,0.00400801603206413,"Rejected"
"miss.100plus",-1.89245107824874,-2.2210226998775,-3.84542010031357,0.486837432174635,0,"Rejected"
